requirement_id,requirement_source,summary,owner,reviewer,mode,status,commit,version,artifact_digest,environment,procedure,evidence_url,evidence_digest,completion_time,issues,exception_id,invalidation_state,invalidated_by,notes
SEC-03,specs/1.0.0/02-security-and-trust.md,The production application role must not bypass PostgreSQL RLS; policies are verified using that exact role.,shawnji (security),shawnji (release),automated,excepted,,1.0.0-rc-candidate,,sec-2b-not-applicable-decision,ADR-0003-and-tenant-inventory-review,docs/adr/0003-defer-true-multi-tenancy.md,,,,EXC-001,exception,,Multi-tenancy deferred per ADR-0003; recorded as an exception rather than a vacuous pass. See EXC-001.
SEC-04,specs/1.0.0/02-security-and-trust.md,Application queries include tenant predicates as defense in depth for tenant-owned resources and nested relations.,shawnji (security),shawnji (release),automated,excepted,,1.0.0-rc-candidate,,sec-2b-not-applicable-decision,ADR-0003-and-tenant-inventory-review,docs/adr/0003-defer-true-multi-tenancy.md,,,,EXC-001,exception,,Multi-tenancy deferred per ADR-0003; recorded as an exception rather than a vacuous pass. See EXC-001.
SEC-05,specs/1.0.0/02-security-and-trust.md,"If multi-tenancy is unsupported, tenant UI, routes, middleware, claims, and ambiguous configuration are removed or hard-disabled.",shawnji (security),shawnji (release),automated,in_progress,,1.0.0-rc-candidate,,,,specs/1.0.0/evidence/sec-2b-remove-unsupported-tenancy.md,sha256:d32a748075d114b62728f0456a9a5dde118b69efad965f67c0c771338fcb2689,,,,not_evidenced,,Implementation hard-disable and local tenant-shaped upgrade rehearsal pass; release-artifact upgrade rehearsal still pending.
SEC-06,specs/1.0.0/02-security-and-trust.md,"Every HTTP, WebSocket, SSE, metrics, health, bootstrap, upload/download, and agent endpoint declares public/auth/RBAC/tenant policy.",shawnji (security),shawnji (release),automated,in_progress,,1.0.0-rc-candidate,,,,specs/1.0.0/evidence/sec-3-endpoint-policy-monitor-auth.md,sha256:4dc9a62c800f774ee4d1fa97d85673a35cd28da60e4eb4739eb095e8d7a84308,,,,not_evidenced,,Runtime route and mounted static/file surface inventory added; RC artifact rerun pending.
SEC-07,specs/1.0.0/02-security-and-trust.md,Public endpoints exist on a reviewed allowlist with disclosure rationale.,shawnji (security),shawnji (release),hybrid,passed,49b20ed1f62c3e8082487c02446a6921edec82e6,1.0.0-rc-candidate,git-tree:a4cece970a0c61a2b521ddbcef366956cc8406f2,"CI ubuntu-24.04 / ubuntu-22.04 (Python 3.12, Node 20) + local python@sha256:dd29372629eeba2dd003fd9e9d35a5b8236c44727875a0364254b5127af88e65 (CPython 3.12.14, FastAPI 0.136.3)",CI: Dev CI 31820982457 | Security Scan 31820982468 | CodeQL 31820982451. Local: pytest tests | ruff check | ruff format --check | mypy src/app | validate_v1_release_control.py,specs/1.0.0/evidence/sec-evidence-capture-2026-08-14b.md,sha256:b0cd667c1e888c295a15dfe8a46d74eed9f2a296cf050385b0d60e899e8a1c5e,2026-08-14T17:00:00Z,,,current,,"Evidence captured at immutable commit 49b20ed1, green in CI (backend suite 2329 passed / 13 skipped, all 10 security scan jobs, CodeQL) and locally (2326 passed / 16 skipped). Supersedes the 72d9aaf5 bundle, which 49b20ed1 invalidated by editing endpoint_policy.json."
SEC-08,specs/1.0.0/02-security-and-trust.md,Monitor list/detail/history/events/probe-run/overview/summary/uptime and nested data require the correct read scope and tenant.,shawnji (security),shawnji (release),automated,passed,49b20ed1f62c3e8082487c02446a6921edec82e6,1.0.0-rc-candidate,git-tree:a4cece970a0c61a2b521ddbcef366956cc8406f2,"CI ubuntu-24.04 / ubuntu-22.04 (Python 3.12, Node 20) + local python@sha256:dd29372629eeba2dd003fd9e9d35a5b8236c44727875a0364254b5127af88e65 (CPython 3.12.14, FastAPI 0.136.3)",CI: Dev CI 31820982457 | Security Scan 31820982468 | CodeQL 31820982451. Local: pytest tests | ruff check | ruff format --check | mypy src/app | validate_v1_release_control.py,specs/1.0.0/evidence/sec-evidence-capture-2026-08-14b.md,sha256:b0cd667c1e888c295a15dfe8a46d74eed9f2a296cf050385b0d60e899e8a1c5e,2026-08-14T17:00:00Z,,,current,,"Evidence captured at immutable commit 49b20ed1, green in CI (backend suite 2329 passed / 13 skipped, all 10 security scan jobs, CodeQL) and locally (2326 passed / 16 skipped). Supersedes the 72d9aaf5 bundle, which 49b20ed1 invalidated by editing endpoint_policy.json."
SEC-09,specs/1.0.0/02-security-and-trust.md,Initial setup cannot expose an admin-equivalent race window.,shawnji (security),shawnji (release),automated,passed,49b20ed1f62c3e8082487c02446a6921edec82e6,1.0.0-rc-candidate,git-tree:a4cece970a0c61a2b521ddbcef366956cc8406f2,"CI ubuntu-24.04 / ubuntu-22.04 (Python 3.12, Node 20) + local python@sha256:dd29372629eeba2dd003fd9e9d35a5b8236c44727875a0364254b5127af88e65 (CPython 3.12.14, FastAPI 0.136.3)",CI: Dev CI 31820982457 | Security Scan 31820982468 | CodeQL 31820982451. Local: pytest tests | ruff check | ruff format --check | mypy src/app | validate_v1_release_control.py,specs/1.0.0/evidence/sec-evidence-capture-2026-08-14b.md,sha256:b0cd667c1e888c295a15dfe8a46d74eed9f2a296cf050385b0d60e899e8a1c5e,2026-08-14T17:00:00Z,,,current,,"Evidence captured at immutable commit 49b20ed1, green in CI (backend suite 2329 passed / 13 skipped, all 10 security scan jobs, CodeQL) and locally (2326 passed / 16 skipped). Supersedes the 72d9aaf5 bundle, which 49b20ed1 invalidated by editing endpoint_policy.json."
SEC-10,specs/1.0.0/02-security-and-trust.md,"MFA, forced password change, lockout order, revocation, OAuth callback handling, CSRF/CORS/CSP, secure cookies, and proxy-aware identity are adversarially tested.",shawnji (security),shawnji (release),automated,passed,49b20ed1f62c3e8082487c02446a6921edec82e6,1.0.0-rc-candidate,git-tree:a4cece970a0c61a2b521ddbcef366956cc8406f2,"CI ubuntu-24.04 / ubuntu-22.04 (Python 3.12, Node 20) + local python@sha256:dd29372629eeba2dd003fd9e9d35a5b8236c44727875a0364254b5127af88e65 (CPython 3.12.14, FastAPI 0.136.3)",CI: Dev CI 31820982457 | Security Scan 31820982468 | CodeQL 31820982451. Local: pytest tests | ruff check | ruff format --check | mypy src/app | validate_v1_release_control.py,specs/1.0.0/evidence/sec-evidence-capture-2026-08-14b.md,sha256:b0cd667c1e888c295a15dfe8a46d74eed9f2a296cf050385b0d60e899e8a1c5e,2026-08-14T17:00:00Z,,,current,,"Evidence captured at immutable commit 49b20ed1, green in CI (backend suite 2329 passed / 13 skipped, all 10 security scan jobs, CodeQL) and locally (2326 passed / 16 skipped). Supersedes the 72d9aaf5 bundle, which 49b20ed1 invalidated by editing endpoint_policy.json."
SEC-11,specs/1.0.0/02-security-and-trust.md,Resolve `click 8.3.1` / `PYSEC-2026-2132` and scan all production dependency graphs.,shawnji (security),shawnji (release),automated,in_progress,,1.0.0-rc-candidate,,,,specs/1.0.0/evidence/sec-5-outbound-dependency-safety.md,,,,,not_evidenced,,"Click fixed in production requirements/lock and pip-audit passes locally; packaged RC scan evidence pending. Re-confirmed at f5f049b1: apps/backend/requirements.txt pins click==8.3.3, above the 8.3.3 fix for PYSEC-2026-2132, and `pip-audit -r apps/backend/requirements.txt` reports no known vulnerabilities. Still unevidenced because the requirement is 'scan all production dependency graphs' and the packaged RC artifact has not been scanned."
SEC-12,specs/1.0.0/02-security-and-trust.md,Outbound webhooks and integrations resist DNS-rebinding SSRF through address pinning or enforced egress policy.,shawnji (security),shawnji (release),automated,in_progress,,1.0.0-rc-candidate,,,,specs/1.0.0/evidence/sec-5-outbound-dependency-safety.md,,,,,not_evidenced,,Shared outbound URL policy added; egress proxy enforced when configured and CB_ALLOW_DIRECT_EGRESS records hosts that run without one; packaged RC controllable-DNS evidence pending.
SEC-13,specs/1.0.0/02-security-and-trust.md,Rate limiting uses shared storage and trusts forwarded client identity only from configured proxies.,shawnji (security),shawnji (release),automated,in_progress,,1.0.0-rc-candidate,,,,specs/1.0.0/evidence/sec-5-outbound-dependency-safety.md,,,,,not_evidenced,,SlowAPI now uses shared Redis storage by default with fail-closed Redis behavior and trusted proxy CIDR parsing; RC multi-instance evidence pending.
SEC-14,specs/1.0.0/02-security-and-trust.md,"Missing or empty Redis, NATS, vault, signing, encryption, and session secrets fail closed where the feature requires them.",shawnji (security),shawnji (release),automated,in_progress,,1.0.0-rc-candidate,,,,specs/1.0.0/evidence/sec-5-outbound-dependency-safety.md,,,,,not_evidenced,,Startup validation now rejects empty/placeholder critical secrets and missing Redis/NATS/rate-limit storage unless explicitly degraded; a missing egress proxy fails closed unless CB_ALLOW_DIRECT_EGRESS is set; packaged RC evidence pending.
SEC-15,specs/1.0.0/02-security-and-trust.md,"Uploaded SVG and other active content is sanitized, rasterized, or rejected and served with safe content policy.",shawnji (security),shawnji (release),automated,passed,49b20ed1f62c3e8082487c02446a6921edec82e6,1.0.0-rc-candidate,git-tree:a4cece970a0c61a2b521ddbcef366956cc8406f2,"CI ubuntu-24.04 / ubuntu-22.04 (Python 3.12, Node 20) + local python@sha256:dd29372629eeba2dd003fd9e9d35a5b8236c44727875a0364254b5127af88e65 (CPython 3.12.14, FastAPI 0.136.3)",CI: Dev CI 31820982457 | Security Scan 31820982468 | CodeQL 31820982451. Local: pytest tests | ruff check | ruff format --check | mypy src/app | validate_v1_release_control.py,specs/1.0.0/evidence/sec-evidence-capture-2026-08-14b.md,sha256:b0cd667c1e888c295a15dfe8a46d74eed9f2a296cf050385b0d60e899e8a1c5e,2026-08-14T17:00:00Z,,,current,,"Evidence captured at immutable commit 49b20ed1, green in CI (backend suite 2329 passed / 13 skipped, all 10 security scan jobs, CodeQL) and locally (2326 passed / 16 skipped). Supersedes the 72d9aaf5 bundle, which 49b20ed1 invalidated by editing endpoint_policy.json."
SEC-16,specs/1.0.0/02-security-and-trust.md,Audit-chain writes serialize safely and verification/repair behavior is documented.,shawnji (security),shawnji (release),automated,passed,49b20ed1f62c3e8082487c02446a6921edec82e6,1.0.0-rc-candidate,git-tree:a4cece970a0c61a2b521ddbcef366956cc8406f2,"CI ubuntu-24.04 / ubuntu-22.04 (Python 3.12, Node 20) + local python@sha256:dd29372629eeba2dd003fd9e9d35a5b8236c44727875a0364254b5127af88e65 (CPython 3.12.14, FastAPI 0.136.3)",CI: Dev CI 31820982457 | Security Scan 31820982468 | CodeQL 31820982451. Local: pytest tests | ruff check | ruff format --check | mypy src/app | validate_v1_release_control.py,specs/1.0.0/evidence/sec-evidence-capture-2026-08-14b.md,sha256:b0cd667c1e888c295a15dfe8a46d74eed9f2a296cf050385b0d60e899e8a1c5e,2026-08-14T17:00:00Z,,,current,,"Evidence captured at immutable commit 49b20ed1, green in CI (backend suite 2329 passed / 13 skipped, all 10 security scan jobs, CodeQL) and locally (2326 passed / 16 skipped). Supersedes the 72d9aaf5 bundle, which 49b20ed1 invalidated by editing endpoint_policy.json."
SEC-17,specs/1.0.0/02-security-and-trust.md,Destructive actions have safeguards proportional to impact and produce audit events.,shawnji (security),shawnji (release),automated,passed,49b20ed1f62c3e8082487c02446a6921edec82e6,1.0.0-rc-candidate,git-tree:a4cece970a0c61a2b521ddbcef366956cc8406f2,"CI ubuntu-24.04 / ubuntu-22.04 (Python 3.12, Node 20) + local python@sha256:dd29372629eeba2dd003fd9e9d35a5b8236c44727875a0364254b5127af88e65 (CPython 3.12.14, FastAPI 0.136.3)",CI: Dev CI 31820982457 | Security Scan 31820982468 | CodeQL 31820982451. Local: pytest tests | ruff check | ruff format --check | mypy src/app | validate_v1_release_control.py,specs/1.0.0/evidence/sec-evidence-capture-2026-08-14b.md,sha256:b0cd667c1e888c295a15dfe8a46d74eed9f2a296cf050385b0d60e899e8a1c5e,2026-08-14T17:00:00Z,,,current,,"Evidence captured at immutable commit 49b20ed1, green in CI (backend suite 2329 passed / 13 skipped, all 10 security scan jobs, CodeQL) and locally (2326 passed / 16 skipped). Supersedes the 72d9aaf5 bundle, which 49b20ed1 invalidated by editing endpoint_policy.json."
SEC-18,specs/1.0.0/02-security-and-trust.md,"CodeQL, Semgrep, Bandit, Trivy, Checkov, Gitleaks, npm audit, pip-audit, Go vulnerability, container, and secret scans pass or have RC-08 exceptions.",shawnji (security),shawnji (release),hybrid,in_progress,,1.0.0-rc-candidate,,local-security-gate,security_scan.sh--gate,specs/1.0.0/evidence/sec-6-content-audit-scans.md,,,,,not_evidenced,,"Implementation complete; CodeQL and the eleven-scanner gate are green in CI at 49b20ed1 with zero HIGH/CRIT. Remaining for full acceptance: a container image scan against a pushed digest, which release.yml runs before cosign but only on a release tag."
AGT-01,specs/1.0.0/03-cb-agent-production-readiness.md,Run the existing full composed Docker journey against every RC and on a schedule.,shawnji (agent),shawnji (release),automated,not_started,,1.0.0-rc-candidate,,,,,,,,,not_evidenced,,Seeded by RC-3; not release evidence.
AGT-02,specs/1.0.0/03-cb-agent-production-readiness.md,"Keep enrollment, telemetry, discovery/import, agent-vantage monitoring, outage/spool recovery, independent restarts, capability changes, revocation, and upgrade in one continuous journey.",shawnji (agent),shawnji (release),automated,not_started,,1.0.0-rc-candidate,,,,,,,,,not_evidenced,,Seeded by RC-3; not release evidence.
AGT-03,specs/1.0.0/03-cb-agent-production-readiness.md,Add forced rollback plus malformed and oversized wire-frame behavior at the appropriate E2E boundary.,shawnji (agent),shawnji (release),manual,not_started,,1.0.0-rc-candidate,,,,,,,,,not_evidenced,,Seeded by RC-3; not release evidence.
AGT-04,specs/1.0.0/03-cb-agent-production-readiness.md,Resolve the uninstall/systemd-container xfail and establish flake tolerance.,shawnji (agent),shawnji (release),automated,in_progress,1007767b,1.0.0-rc-candidate,,,,apps/agent/e2e/test_agent_e2e.py,,,,,not_evidenced,,"The uninstall xfail named three production bugs that 4aab49d5 and ad197961 had already fixed two hours after 6903d6db wrote it. 1007767b corrected the stale reason and made the marker self-resolving, so it reports rather than hides a regression. Flake tolerance is still unestablished — that needs repeated scheduled runs, not code."
AGT-05,specs/1.0.0/03-cb-agent-production-readiness.md,"Test Debian/Ubuntu, Fedora/RHEL-family, and one minimal/server distribution on x86_64 and arm64 where supported by RC-02.",shawnji (agent),shawnji (release),manual,not_started,,1.0.0-rc-candidate,,,,,,,,,not_evidenced,,Seeded by RC-3; not release evidence.
AGT-06,specs/1.0.0/03-cb-agent-production-readiness.md,"Exercise a physically separate site behind NAT with no inbound port using realistic DNS/TLS, packet loss, latency, DHCP changes, reboot, suspend, firewall, proxy, and intermittent WAN.",shawnji (agent),shawnji (release),manual,not_started,,1.0.0-rc-candidate,,,,,,,,,not_evidenced,,Seeded by RC-3; not release evidence.
AGT-07,specs/1.0.0/03-cb-agent-production-readiness.md,"Exercise least-privilege install, enroll, approve, revoke, uninstall, update, failed update, rollback, server reinstall, and re-key.",shawnji (agent),shawnji (release),hybrid,not_started,,1.0.0-rc-candidate,,,,,,,,,not_evidenced,,Seeded by RC-3; not release evidence.
AGT-08,specs/1.0.0/03-cb-agent-production-readiness.md,"Validate network-scope accuracy on multi-NIC, VLAN, bridge, VPN, Docker, IPv4/IPv6 as supported, and overlapping subnet hosts.",shawnji (agent),shawnji (release),automated,not_started,,1.0.0-rc-candidate,,,,,,,,,not_evidenced,,Seeded by RC-3; not release evidence.
AGT-09,specs/1.0.0/03-cb-agent-production-readiness.md,"Enforce idle CPU/RAM, discovery-load, and disconnected-spool disk ceilings.",shawnji (agent),shawnji (release),automated,not_started,,1.0.0-rc-candidate,,,,,,,,,not_evidenced,,Seeded by RC-3; not release evidence.
AGT-10,specs/1.0.0/03-cb-agent-production-readiness.md,"Resolve the ARM64 Pillow/AVIF startup crash by repairing, excluding, or compatibly replacing AVIF support.",shawnji (agent),shawnji (release),automated,in_progress,5a154766,1.0.0-rc-candidate,,,,apps/backend/src/app/core/image_policy.py,,,,,not_evidenced,,"The supported image formats are one asserted policy as of 5a154766, with 5f8bbbf1 narrowing the format check so mypy can verify it. The arm64 startup crash itself still needs confirming on real arm64 hardware, which is why this is not passed."
AGT-11,specs/1.0.0/03-cb-agent-production-readiness.md,Use an application-owned PyInstaller extraction/runtime location and clean only stale Circuit Breaker-owned state.,shawnji (agent),shawnji (release),automated,in_progress,a9561af7,1.0.0-rc-candidate,,,,tests/build/test_agt11_extraction_dirs.py,,,,,not_evidenced,,"a9561af7 gives each packaged unit its own PyInstaller extraction directory, so one unit's cleanup can no longer delete another's live runtime. Pinned by a repo-policy test. Awaiting an installed-artifact run as evidence."
AGT-12,specs/1.0.0/03-cb-agent-production-readiness.md,Resolve saved environment names to numeric IDs only after environments load; stale/deleted values produce an unfiltered or explicit safe state.,shawnji (agent),shawnji (release),automated,in_progress,101558f4,1.0.0-rc-candidate,,,,apps/frontend/src/pages/MapPage.jsx,,,,,not_evidenced,,"101558f4 resolves a saved default_environment name to a numeric id only after environments load, so a stale or deleted name no longer filters the map to nothing. Awaiting UAT evidence."
